Name,connectivity,dynamicColors,moduleColors,moduleLabels,gene_name,gene_biotype
Wls,13.964091718800313,maroon,maroon,29.0,,
Perp,13.17404531557189,maroon,maroon,29.0,,
Rian,12.671026002685942,maroon,maroon,29.0,,
Plk2,12.312619858699959,maroon,maroon,29.0,,
Klhl9,12.01910917118812,maroon,maroon,29.0,,
Clca6,11.853349651744107,maroon,maroon,29.0,,
Vezf1,11.774106941432251,maroon,maroon,29.0,,
Rassf3,11.624612160360146,maroon,maroon,29.0,,
Pdk1,11.156762163848558,maroon,maroon,29.0,,
4930455C21Rik,11.025653119693782,maroon,maroon,29.0,,
Zfp867,10.71886918659153,maroon,maroon,29.0,,
Rnf128,10.593994204724813,maroon,maroon,29.0,,
Whsc1,10.515663963640897,maroon,maroon,29.0,,
Ccdc34,10.451329739174376,maroon,maroon,29.0,,
Nt5dc2,10.446108369462275,maroon,maroon,29.0,,
Prps2,10.395828667508491,maroon,maroon,29.0,,
Zfyve16,10.231847422252965,maroon,maroon,29.0,,
Nrip1,10.223249255424218,maroon,maroon,29.0,,
Tmem47,9.771372662578997,maroon,maroon,29.0,,
Fam107b,9.730211500337022,maroon,maroon,29.0,,
